id,ra,dec,B_mag,B_mag_unc,V_mag,V_mag_unc,g_mag,g_mag_unc,r_mag,r_mag_unc,i_mag,i_mag_unc,z_mag,z_mag_unc,J_mag,J_mag_unc,H_mag,H_mag_unc,K_mag,K_mag_unc,G_mag,G_mag_unc,Bp_mag,Bp_mag_unc,Rp_mag,Rp_mag_unc,parallax,parallax_unc,GaiaID
EPIC202688980,244.220774,-28.730322,12.442,0.218,12.677,0.31,12.251,0.01,11.755,0.04,11.566,0.01,,,10.588,0.029,10.308,0.022,10.232,0.024,11.7989,0.0004,12.1798,0.0014,11.2581,0.0006,0.0021327,4.5199999999999994e-05,6039099093386135424
EPIC202710713,244.066902,-28.649133,14.763,0.03,13.034,0.01,13.956,0.01,12.315,0.02,11.501,0.04,,,9.521,0.024,8.664,0.057,8.366,0.023,12.1804,0.0004,13.3059,0.0025,11.1378,0.001,0.0001725,5.23e-05,6039103285274259968
EPIC202821899,249.160014,-28.239061,,,,,,,,,,,,,11.286,0.026,10.902,0.025,10.805,0.024,12.7788,0.0003,13.2855,0.0012,12.1156,0.0009,0.0014119999999999998,6.25e-05,6044406710890711552
EPIC202843107,245.547787,-28.161823,12.835,0.041,12.099,0.03,12.488,0.031,11.803,0.04,11.546,0.06,,,10.317,0.027,10.044,0.027,9.878,0.023,12.1049,0.007,12.3763,0.0027,11.2245,0.0015,-0.0030598,0.0006961000000000001,6039027796924029056
EPIC202893157,246.559179,-27.983086,,,,,,,,,,,,,11.547,0.024,10.616,0.023,10.369,0.027,14.3752,0.0008,15.5536,0.006,13.2982,0.002,2.17e-05,4.51e-05,6045005223170271872
EPIC202900527,246.81115,-27.957049,,,,,,,,,,,,,10.686,0.023,10.225,0.024,10.03,0.019,12.6814,0.0009,13.3804,0.0034,11.868,0.0022,0.0026926999999999997,4.51e-05,6044346718786094592
EPIC203070421,250.453119,-27.361034,13.459,0.042,12.714,0.031,13.057,0.031,12.512,0.041,12.324,0.061,,,11.195,0.023,10.953,0.026,10.862,0.024,12.4966,0.0002,12.9081,0.0015,11.9222,0.0013,0.001109,4.22e-05,6034068342347860224
EPIC203099398,243.813044,-27.261664,12.612,0.041,11.238,0.03,12.011,0.03,10.643,0.04,10.043,0.06,,,8.425,0.02,7.824,0.036,7.637,0.017,10.6678,0.0004,11.5469,0.0043,9.7427,0.0037,0.028192699999999998,7.42e-05,6042368383828169728
EPIC203294831,239.87921,-26.604367,13.148,0.36,11.828,0.164,,,,,,,,,10.948,0.023,10.71,0.023,10.586,0.019,12.0994,0.0003,12.4516,0.0011,11.5885,0.001,0.0016374,6.03e-05,6043220303485335424
EPIC203311200,240.976393,-26.553753,12.075,0.176,11.877,0.226,12.899,0.9,11.537,0.12,11.466,0.01,,,10.644,0.023,10.42,0.024,10.324,0.022,11.5903,0.0006,11.8834,0.0011,11.1494,0.0006,0.0019294,5.98e-05,6043177972287365632
